,Time (h),ODa,gDCWL,GR-Exp,GR,mu,k-means
89,89.0,921.3,17.68705072492172,2.7268809620728294,2.872832774369713,0.006221147211026068,3
90,90.0,927.1,17.7974274501492,2.737401446275798,2.879053921580739,0.008411849249713388,3
91,91.0,935.0,17.94776816209697,2.751789055999496,2.8874657708304525,0.002224207418847879,3
92,92.0,937.1,17.987732148817265,2.755624886338249,2.8896899782493004,0.004433628333243789,3
93,93.0,941.3,18.067660122257852,2.7633107829039782,2.894123606582544,0.006509161922400253,3
94,94.0,947.5,18.185649035432057,2.774691382143504,2.9006327685049444,0.007610093753390057,3
95,95.0,954.8,18.324571465459744,2.788144365411873,2.9082428622583345,0.00930328754225851,3
96,96.0,963.8,18.495845694261003,2.8048097437360666,2.917546149800593,0.0011311556064486084,3
97,97.0,964.9,18.516779211114493,2.8068526592363363,2.9186773054070416,0.010224965424758814,3
98,98.0,974.9,18.70708390978256,2.8254850907361897,2.9289022708318004,0.0060851686577958475,3
99,99.0,980.9,18.8212667289834,2.836716973192789,2.9349874394895963,0.0014145603914599292,3
100,100.0,982.3,18.84790938679693,2.8393434166492324,2.936401999881056,0.007944874977844574,3
101,101.0,990.2,18.998250098744705,2.8542043622115765,2.944346874858901,0.010562002055771735,3
102,102.0,1000.8,19.199973079332853,2.8742522232527605,2.9549088769146725,0.005633779085619128,3
103,103.0,1006.5,19.308446757573652,2.8850839467676215,2.9605426560002917,0.00824498467142476,3
104,104.0,1014.9,19.46830270445483,2.901112062887223,2.9687876406717164,0.009630828059397967,3
105,105.0,1024.8,19.656704356136217,2.920102974071721,2.9784184687311144,0.008675531385146762,3
106,106.0,1033.8,19.827978584937476,2.9374622666514782,2.987094000116261,0.006409929174025386,3
107,107.0,1040.5,19.95548273304508,2.9504441370842884,2.9935039292902865,0.009963484117046839,3
108,108.0,1051.0,20.155302666646552,2.9708902345271357,3.0034674134073334,0.009771694973017109,3
109,109.0,1061.4,20.353219553261344,2.991264060145412,3.0132391083803505,0.009491913947787811,3
110,110.0,1071.6,20.54733034590277,3.0113649376372567,3.0227310223281383,0.0037901350706364134,3
111,111.0,1075.7,20.62535527235668,3.0194779732934114,3.0265211573987747,0.008086741271728037,3
112,112.0,1084.5,20.792823407184578,3.03695593073132,3.0346078986705027,0.007113528079163434,3
113,113.0,1092.3,20.941261072145668,3.0525216497626264,3.041721426749666,0.0058895283176894075,3
114,114.0,1098.8,21.064959126279913,3.0655462851755817,3.0476109550673556,0.006483548167383724,3
115,115.0,1106.0,21.201978509320924,3.0800301882399497,3.0540945032347393,0.010446925246935468,3
116,116.0,1117.7,21.42463500676256,3.103693857870042,3.0645414284816748,0.005403709397344247,3
117,117.0,1123.8,21.540720872950082,3.1160940445560676,3.069945137879019,0.007744425110197017,3
118,118.0,1132.6,21.708189007777978,3.1340588287571705,3.077689562989216,0.008467547649833485,3
119,119.0,1142.3,21.892784565486007,3.153965239382097,3.0861571106390495,0.003644233722320145,3
120,120.0,1146.5,21.972712538926594,3.1626185433476808,3.0898013443613697,0.0059582738874977,3
121,121.0,1153.4,22.104022781007565,3.176879449328176,3.0957596182488674,0.005837392746361303,3
122,122.0,1160.2,22.23342997610185,3.190988243439381,3.1015970109952287,0.005463062753219727,3
123,123.0,1166.6,22.355224983249407,3.20431671376342,3.1070600737484484,0.00856113777690437,3
124,124.0,1176.7,22.54743272890416,3.2254488374858137,3.1156212115253528,0.003454505717186418,3
125,125.0,1180.8,22.625457655358066,3.234061592507125,3.119075717242539,0.008626107802487404,3
126,126.0,1191.1,22.821471494986174,3.2557863273632957,3.1277018250450266,0.009461382189397849,3
127,127.0,1202.5,23.03841885146777,3.279978094049157,3.1371632072344244,0.011089712420663922,1
128,128.0,1216.0,23.295330194669663,3.3088267064421752,3.1482529196550884,0.004645648168725369,1
129,129.0,1221.7,23.403803872910462,3.321072732806209,3.1528985678238137,0.008743529908452619,1
130,130.0,1232.5,23.609332947471973,3.3443827585512826,3.1616420977322663,0.007628372059342414,1
131,131.0,1242.0,23.79012241120664,3.3650031240807516,3.1692704697916088,0.003513519244695562,1
132,132.0,1246.4,23.87385647862059,3.374590557766143,3.1727839890363043,0.010309312937351489,1
133,133.0,1259.4,24.121252586889078,3.4030541406314354,3.183093301973656,0.005115072740107696,1
134,134.0,1265.9,24.24495064102332,3.4173629491674933,3.1882083747137635,0.003604152608606803,1
135,135.0,1270.5,24.33249080241063,3.427520292784543,3.1918125273223703,0.007635367851633212,1
136,136.0,1280.3,24.518989407105334,3.4492460338165407,3.1994478951740035,-0.0008541321901045507,1
137,137.0,1279.2,24.498055890251848,3.4468015771118674,3.198593762983899,0.013579335111921775,1
138,138.0,1296.8,24.832992159907647,3.486091013726089,3.2121730980958207,-0.002762629976901465,1
139,139.0,1293.2,24.764482468387143,3.478023579133377,3.2094104681189193,0.01563059656728738,1
140,140.0,1313.7,25.15460710065668,3.5241767526322483,3.2250410646862067,0.0028707280297419757,1
141,141.0,1317.5,25.226922886150547,3.532789038168405,3.2279117927159486,0.008563066363982852,1
142,142.0,1328.9,25.443870242632144,3.558733387860589,3.2364748590799315,0.00455205324559893,1
143,143.0,1335.0,25.559956108819662,3.572682262768538,3.2410269123255304,0.001636653129158283,1
144,144.0,1337.2,25.60182314252664,3.5777243814270223,3.2426635654546887,0.008217052557379478,1
145,145.0,1348.3,25.81306135804819,3.603256330550982,3.250880618012068,0.006979385182751763,1
146,146.0,1357.8,25.993850821782857,3.625230469680099,3.25786000319482,-0.004034757340536377,1
147,147.0,1352.3,25.889183237515418,3.612494810225999,3.2538252458542836,0.01220100275460867,1
148,148.0,1369.0,26.20699208429109,3.6512823893424207,3.2660262486088922,0.0062977198318541205,1
149,149.0,1377.7,26.37255717213231,3.6716281801360076,3.2723239684407464,0.005971425759542459,1
150,150.0,1386.0,26.530510072026807,3.691127647331547,3.278295394200289,0.0033656637088181895,1
151,151.0,1390.7,26.6199532804008,3.7022081878476336,3.281661057909107,0.006697533787945353,1
152,152.0,1400.1,26.79883969714878,3.724453348630697,3.2883585916970524,0.009751990465981297,1
153,153.0,1413.9,27.061460181310714,3.7573148000922094,3.2981105821630337,-0.0006331086754904902,1
154,154.0,1413.0,27.04433275843059,3.755164260336052,3.297477473487543,0.00407301949453398,1
155,155.0,1418.8,27.154709483658067,3.7690414457141452,3.301550492982077,0.00014015348841089903,1
156,156.0,1419.0,27.15851557763143,3.7695207361476157,3.301690646470488,-0.0014725922393012958,1
157,157.0,1416.9,27.118551590911135,3.764490737168831,3.3002180542311867,0.008733637632674984,1
158,158.0,1429.4,27.35643246424622,3.794514393684847,3.3089516918638617,-0.00691074758639143,1
159,159.0,1419.5,27.168030812564833,3.7707191860220046,3.3020409442774703,0.0009801815527041846,1
160,160.0,1420.9,27.194673470378362,3.774076546824866,3.3030211258301745,0.0006995419289657079,1
161,161.0,1421.9,27.21370394024517,3.776476196990122,3.30372066775914,0.002793284372486049,1
162,162.0,1425.9,27.289825819712398,3.7860875997609913,3.3065139521316262,0.000906140035743519,1
163,163.0,1427.2,27.314565430539243,3.7892157186606603,3.3074200921673698,-0.000139352726807207,1
164,164.0,1427.0,27.310759336565884,3.7887343286216497,3.3072807394405626,0.004449683437775409,1
165,165.0,1433.4,27.43255434371345,3.804164255343511,3.311730422878338,-0.004380004646974189,1
166,166.0,1427.1,27.31266238355256,3.7889750172323486,3.3073504182313638,0.0007661464310579902,1
167,167.0,1428.2,27.333595900406053,3.7916234379935054,3.3081165646624218,-0.002160645558980434,1
168,168.0,1425.1,27.27460144381895,3.784163679874538,3.3059559191034413,-0.003704855026760878,1
169,169.0,1419.8,27.173739953524873,3.7714384094179603,3.3022510640766805,-0.0022435572998640296,1
170,170.0,1416.6,27.112842449951092,3.7637726260418516,3.3000075067768164,-0.001193940315732167,1
171,171.0,1414.9,27.080490651177524,3.7597055017499397,3.2988135664610843,0.0016851487688671618,1
172,172.0,1417.3,27.126163778857855,3.76544839759145,3.3004987152299514,-0.0049229762870588445,1
173,173.0,1410.3,26.99295048979021,3.7487188439465595,3.2955757389428926,0.0023941870386394726,1
174,174.0,1413.7,27.057654087337355,3.7568368129971685,3.297969925981532,-0.0015485251609570483,1
175,175.0,1411.5,27.01578705363038,3.751582325040213,3.296421400820575,-0.0043769710776038195,1
176,176.0,1405.3,26.897798140456175,3.7368074360818357,3.292044429742971,0.005573769204744394,1
177,177.0,1413.2,27.04813885240395,3.755642068692538,3.2976181989477156,-0.00028147072678708085,1
178,178.0,1412.8,27.040526664457225,3.754686503041017,3.2973367282209285,0.0014768382401557645,1
179,179.0,1414.9,27.080490651177524,3.7597055017499397,3.2988135664610843,-0.005920484536930282,1
180,180.0,1406.5,26.920634704296344,3.7396632682643816,3.292893081924154,0.0030351030483828367,1
181,181.0,1410.8,27.002465724723614,3.7499117378143167,3.295928184972537,-0.0038130066999402246,1
182,182.0,1405.4,26.899701187442858,3.737045352036929,3.2921151782725966,0.00634695781282657,1
183,183.0,1414.4,27.07097541624412,3.7585099912888564,3.298462136085423,0.0,1
