,Time (h),Oda,gDCWL,mu,log10_oda,regions
41,41.0,283.4,5.0657885245123255,0.052874469703476645,0.7046470558543809,1
42,42.0,299.6,5.340847115947177,0.044761683686669995,0.7276101462801615,1
43,43.0,314.0,5.585343641667045,0.051831603834694207,0.7470498985059811,1
44,44.0,331.5,5.882474836118273,0.049551676151263546,0.7695600780395842,1
45,45.0,349.1,6.181303923109222,0.014994524696598344,0.791080097561135,1
46,46.0,354.6,6.274688012793893,0.032741164593502736,0.7975921368956296,1
47,47.0,366.9,6.483528795179613,0.04805945402246614,0.811811444009674,1
48,48.0,385.7,6.802732592647217,0.055818407804923975,0.832683399694914,1
49,49.0,408.7,7.193247876783117,0.05889344857816714,0.856925026193218,1
50,50.0,434.4,7.629606259491491,0.05224337479990959,0.8825021259309688,1
51,51.0,458.5,8.038798361564325,0.03303115962725611,0.9051911353225729,1
52,52.0,474.4,8.308763275380013,0.034939284211113364,0.9195363856795559,1
53,53.0,491.8,8.60419657729152,0.032423261744205956,0.9347103240140917,1
54,54.0,508.5,8.887744631424978,0.033069719605360426,0.9487915676749051,1
55,55.0,526.1,9.186573718415927,0.03308445752694311,0.9631535644176009,1
56,56.0,544.3,9.495590160645202,0.02977105345706743,0.9775219617583149,1
57,57.0,561.2,9.782533999858103,0.029921496565273653,0.9904513659951659,1
58,58.0,578.7,10.079665194309332,0.030850395562346034,1.0034461068437515,1
59,59.0,597.3,10.395473206697492,0.03119437478855458,1.0168442634010109,1
60,60.0,616.7,10.724864359403426,0.031478666382597,1.030391808238102,1
61,61.0,636.9,11.067838652427127,0.03126163328651366,1.0440628193457373,1
62,62.0,657.6,11.419302408149438,0.025542394483281772,1.0576395741773532,1
63,63.0,675.0,11.714735710060944,0.022641694890043862,1.0687324951560386,1
64,64.0,690.8,11.983002731336908,0.021308497697757556,1.0785656583077217,1
65,65.0,706.0,12.241082397374548,0.022085720661459085,1.087819821275506,1
66,66.0,722.1,12.514443096269677,0.01775057449703432,1.0974115278876342,1
67,67.0,735.3,12.738564911512889,0.01730998745904122,1.1051205044423087,1
68,68.0,748.4,12.960988834216378,0.01637128539002397,1.112638136477585,1
69,69.0,761.0,13.174923294221264,0.012423197317627643,1.1197480953841357,1
70,70.0,770.7,13.33961887057423,0.014907596218578512,1.1251434214267768,1
71,71.0,782.5,13.539970190261343,0.011470626097739078,1.131617708202947,1
72,72.0,791.7,13.696176303915703,0.016353344297760586,1.1365993378211705,1
73,73.0,805.0,13.921996011698635,0.015249780206692432,1.1437015050103518,1
74,74.0,817.6,14.13593047170352,0.02115456255000092,1.1503244004043558,0
75,75.0,835.4,14.43815534377391,0.017947998447084057,1.1595117101868986,0
76,76.0,850.8,14.699630794890991,0.01467651290604799,1.1673064268736753,0
77,77.0,863.6,14.91696103997532,0.01592161199281783,1.1736803554423538,0
78,78.0,877.7,15.156363888076022,0.014237373282518728,1.1805950236738392,0
79,79.0,890.5,15.373694133160349,0.014908348744307354,1.186778236327234,0
80,80.0,904.1,15.604607518562446,0.015225309654126828,1.1932528499211759,0
81,81.0,918.2,15.84401036666315,0.014257723127199196,1.1998651178892314,0
82,82.0,931.6,16.0715279669858,0.01218045144329638,1.2060571683678785,0
83,83.0,943.2,16.268483501593472,0.014197020354535628,1.2113470712167924,0
84,84.0,956.9,16.50109477953529,0.012881540189655372,1.2175127588162356,0
85,85.0,969.5,16.715029239540176,0.0133193039683559,1.2231071406390177,0
86,86.0,982.7,16.939151054783387,0.009179342886927788,1.2288916408552668,0
87,87.0,991.9,17.095357168437747,0.010964075212848368,1.2328781788185574,0
88,88.0,1003.0,17.283823240346813,0.005779188450394823,1.2376398161826698,0
89,89.0,1008.9,17.383998900190367,0.0030231908548317143,1.2401496858365553,0
90,90.0,1012.0,17.436633568921728,0.004469248924769964,1.2414626409425489,0
91,91.0,1016.6,17.51473662574891,0.0022271563917048987,1.2434036110888287,0
92,92.0,1018.9,17.553788154162497,0.008188022986652221,1.2443708528200816,0
93,93.0,1027.4,17.69810902003881,0.007740809385972103,1.2479268660208815,0
94,94.0,1035.5,17.835638315756235,0.008908682166955728,1.2512886568226742,0
95,95.0,1044.9,17.99524021449004,0.006114170659853091,1.2551576483288132,0
96,96.0,1051.4,18.105603229571923,0.005331064250325035,1.257812998907802,0
97,97.0,1057.1,18.202383104336032,0.010762195123721785,1.2601282506943898,0
98,98.0,1068.7,18.399338638943707,0.006897166171088376,1.2648022126497882,0
99,99.0,1076.2,18.526680579422806,0.006667864005124535,1.2677976138586617,0
100,100.0,1083.5,18.65062673482246,0.006442810070689919,1.2706934304021686,0
101,101.0,1090.6,18.77117710514267,0.007928273524281604,1.27349150726382,0
102,102.0,1099.4,18.920591648638148,0.008577934272735899,1.2769347127064352,0
103,103.0,1109.0,19.08358933245139,0.00841675693896482,1.280660062227213,0
104,104.0,1118.5,19.244889123724914,0.009745404261273016,1.2843154133213264,0
105,105.0,1129.6,19.433355195633975,0.009910906054269919,1.2885477886159138,0
106,106.0,1141.0,19.626914945162206,0.006896832170326661,1.2928520404259447,0
107,107.0,1149.0,19.76274634833991,0.008299105083850566,1.2958472965801304,0
108,108.0,1158.7,19.92744192469288,0.007554525258298028,1.299451552122782,0
109,109.0,1167.6,20.07855436072807,0.00967770585049399,1.3027324407558596,0
110,110.0,1179.1,20.27381200279602,0.005761984372353979,1.3069354150042118,0
111,111.0,1186.0,20.390966588036793,0.00878756719703322,1.309437813021938,0
112,112.0,1196.6,20.57094319724725,0.005843121383921179,1.3132542049649636,0
113,113.0,1203.7,20.691493567567463,0.008090874388021696,1.3157918403390914,0
114,114.0,1213.6,20.85958492899987,0.007218154923123166,1.3193056624395816,0
115,115.0,1222.5,21.010697365035067,0.0012114288354374558,1.3224404672922168,0
116,116.0,1224.0,21.036165753130888,0.008519188926886745,1.3229665841506657,0
117,117.0,1234.6,21.216142362341344,0.006938339069031407,1.326666420891904,0
118,118.0,1243.3,21.3638590132971,0.0072850984438384,1.329679703263158,0
119,119.0,1252.5,21.520065126951458,0.009892074001834228,1.332843581317439,0
120,120.0,1265.1,21.73399958695634,0.007006332776594348,1.3371396544710141,0
