,Time (h),Oda,gDWL,GR-Exp,GR,mu
69,69.0,761.0,13.174923294221264,2.2592779188038223,2.5783152723399856,0.07543127503924582
70,70.0,770.7,13.33961887057423,2.2722714819170102,2.5907384696576132,0.07440727738584171
71,71.0,782.5,13.539970190261343,2.2881697215942265,2.6056460658761917,0.07343263224076076
72,72.0,791.7,13.696176303915703,2.3006350440216377,2.617116691973931,0.07241770197258485
73,73.0,805.0,13.921996011698635,2.3187646398551607,2.6334700362716914,0.0712824862639902
74,74.0,817.6,14.13593047170352,2.3360595770906825,2.648719816478384,0.06999610060244776
75,75.0,835.4,14.43815534377391,2.36069150774457,2.6698743790283848,0.06864123714255495
76,76.0,850.8,14.699630794890991,2.3821918737846377,2.687822377475469,0.0675309269556716
77,77.0,863.6,14.91696103997532,2.4001970049653343,2.702498890381517,0.06650552455466423
78,78.0,877.7,15.156363888076022,2.4201731362264782,2.7184205023743346,0.06551031715348439
79,79.0,890.5,15.373694133160349,2.4384374219581466,2.7326578756568534,0.06456251428797408
80,80.0,904.1,15.604607518562446,2.4579794465051057,2.7475662244011607,0.06359702808432055
81,81.0,918.2,15.84401036666315,2.4783889178720897,2.7627915340552875,0.06266646231755173
82,82.0,931.6,16.0715279669858,2.497926496530964,2.7770492571824867,0.061843661654695015
83,83.0,943.2,16.268483501593472,2.5149514364017636,2.789229708625783,0.06103324172479159
84,84.0,956.9,16.50109477953529,2.535192800353797,2.8034267289803187,0.06021255383242693
85,85.0,969.5,16.715029239540176,2.553938006817259,2.816308269169974,0.05942885994342897
86,86.0,982.7,16.939151054783387,2.5737091652261217,2.82962757313833,0.05876429975870915
87,87.0,991.9,17.095357168437747,2.5875701079914917,2.838806916025258,0.05817532621011234
88,88.0,1003.0,17.283823240346813,2.6043826365693117,2.849770991238106,0.057690545382184356
89,89.0,1008.9,17.383998900190367,2.613358775638235,2.855550179688501,0.05743725433633081
90,90.0,1012.0,17.436633568921728,2.6180861377619093,2.8585733705433327,0.0572224584584321
91,91.0,1016.6,17.51473662574891,2.6251150313465024,2.8630426194681027,0.05703122213598174
92,92.0,1018.9,17.553788154162497,2.6286358029397108,2.8652697758598076,0.05673485214306826
93,93.0,1027.4,17.69810902003881,2.641684007954601,2.87345779884646,0.05628480350744183
94,94.0,1035.5,17.835638315756235,2.654172002145778,2.881198608232432,0.05581814651099037
95,95.0,1044.9,17.99524021449004,2.6687303069888064,2.8901072903993876,0.05540054025632308
96,96.0,1051.4,18.105603229571923,2.6788388524232665,2.8962214610592407,0.055084430139209356
97,97.0,1057.1,18.202383104336032,2.6877313584150846,2.9015525253095658,0.054642765663628245
98,98.0,1068.7,18.399338638943707,2.7059096914656413,2.9123147204332875,0.05416256533502765
99,99.0,1076.2,18.526680579422806,2.7177211407423734,2.919211886604376,0.053796456885851426
100,100.0,1083.5,18.65062673482246,2.729261670273566,2.9258797506095005,0.05344496291115756
101,101.0,1090.6,18.77117710514267,2.7405278218947555,2.9323225606801904,0.053062261134717084
102,102.0,1099.4,18.920591648638148,2.7545488739306907,2.940250834204472,0.052626111439499204
103,103.0,1109.0,19.08358933245139,2.7699172227478366,2.948828768477208,0.052180829699228076
104,104.0,1118.5,19.244889123724914,2.78520037511163,2.9572455254161727,0.05170906446214544
105,105.0,1129.6,19.433355195633975,2.803152257121516,2.9669909296774457,0.051203342008997794
